ordernumber;name;tax;price_EK;active;shippingtime;shippingfree;topseller;keywords;categories
85803;Sterben war ihr täglich Brot: Die Testpiloten von Rechlin;7;17,9;1;5-8 Tage;0;0;Sterben war ihr täglich Brot, Testpiloten, Buch, Flugzeugtests, Rechlin, Tatsachenroman, Norbert Lebert, Taschenbuch ;26
85795;Kriminalakte Vermisst: Auf der Suche nach Wahrheit;7;12,9;1;2-3;0;0;Kriminalakte Vermisst,  Auf der Suche nach Wahrheit , Thomas Beigang, Vermisstenfälle, Buch, mecklenbook, Kriminalfälle, Kriminalfälle aus Mecklenburg-Vorpommern, Mecklenburg-Vorpmmern, ;44
85732;Vegan genießen;7;14,9;1;2-3;0;0;vegan, bio, ohne Fleisch, vegane ernährung;17
85632;111 Lieblings-Rezepte;7;14,9;1;2-3;0;0;Rezepte, Kochen, Backen, Kochrezepte, Backrezepte;17
85780;111 Lieblings-Rezepte – Unser Backbuch;7;14,9;1;2-3;0;0;Kuchen, Torten, Backen, Backbuch, Backrezepte;17
85785;Frieda - dicke da!;7;12,95;1;2-3 ;0;0;Kinderbuch, Frieda, Buch, Frieda Dicke da, mecklenbook, Mutmacher-Buch, Corinna Johnsen ;22
85735;Abendbrot im Geisterdorf;7;9,9;1;2-3;0;0;;22
85763;Leb wohl, Alishi;7;9,9;1;2-3 ;0;0;Flucht, Kinder, Kinderbuch, Krieg;22
85784;Unsere besten Ostwitze: Kennst du den?;7;9,9;1;2-3 Tage;0;0;Witze, Ostdeutschland, DDR, Witzesammlung, Andreas Meenke, Frank Wilhelm;16
85725;Liebeserklärung - Eine Reise durchs Land;7;5;0;2-3 Tage;0;0;Mecklenburg-Vorpommern, Fotografie, Hobbyfotografie, Liebeserklärung, Bildband;44
85843;Der Elefantenpups – Mit dem Zoo-Orchester um die Welt;7;24,95;1;2-3;0;1;Der Elefantenpups, Zoo-Orchester, Kinderbuch, Musik, Heidi Leenen;22
85840;RAF im Osten - Terroristen unter dem Schutz der Stasi;7;14,95;1;2-3;0;1;Stasi, RAF, DDR, Frank Wilhelm, Nordkurier, MfS;26
85841;1945. Zwischen Krieg und Frieden, Vierter Teil: Erinnerungen aus Mecklenburg, Vorpommern und von Flucht und Vertreibung;7;14,95;1;2-3;0;0;Nachkriegszeit, Zweiter Weltkrieg, Mecklenburg-Vorpommern, Uckermark, Zeitzeugen, Frank Wilhelm, Birgit Langkabel;26
85837;Humor ist, wo es trotzdem kracht...: ... denn Beziehungen schaden nur dem, der welche hat;7;12,95;1;2-3;0;0;Humor ist, wo es trotzdem kracht..., Humor, Witze, Sammlung, Beziehungen, Mann, Frau;43
85834;Jedes Mahl saisonal: Leicht und lecker durchs Jahr;7;14,95;1;2-3;0;1;Rezepte, Küche, Leichte Küche, Gesundheit, Gemüse, Jahreszeiten, Kochen;17
85832;Meinst Du, die Russen wollen... ? Ein Moskauer Tagebuch;7;17,95;1;2-3;0;1;Russland, Moskau, Tagebuch, Carsten Gansel;26
85831;Kriminalakte - Tatort Nachbarschaft: Schwere Straftaten aus Deutschlands Norden;7;12,95;1;2-3 Tage;0;0;Kriminalfälle, Krimi, Deutschland, Ermittlungen, Polizei, Straftaten, Mecklenburg-Vorpommern, Brandenburg, Dr. Mark Benecke, Mark Benecke ;44
85766;Das Skelett unter dem Marktplatz;7;9,9;1;2-3 Tage;0;0;Neubrandenburg, Skelett, Neubrandenburger Skelett, Stadtgeschichte, Stadtgeschichte Neubrandenburg, Weberglocken;44
85827;Einfach total genial... Warum wir Ossis nicht zu bremsen sind;7;14,95;1;2-3 ;0;0;Ostalgie, DDR, Ossis, Erfindungen, Witze, Moskwitsch, Mauer;16
85822;1945. Zwischen Krieg und Frieden, Dritter Teil: Erinnerungen aus Mecklenburg-Vorpommern und der alten Heimat;7;14,95;1;2-3;0;0;Flucht, Vertreibung, 1945;26
85820;Wunderwahre Weihnachten: Das Familienbuch für die schönste Zeit des Jahres;7;19,95;1;2-3;0;0;Wunderwahre Weihnachten: Das Familienbuch für die schönste Zeit des Jahres, Weihnachten, Traditionen, Adventszeit, Familie;43
85814;111 Lieblings-Rezepte aus unserer Kindheit;7;14,95;1;2-3;0;0;Kindheitserinnerungen, Lieblingsrezepte;17
85813;Die Letzten ihrer Rasse: Gezüchtet und vergessen;7;14,95;1;2-3;0;0;Nutztiere, Nutztierrassen, aussterbende Nutztiere, aussterbende Rassen, aussterbende Haustiere, seltene Haustiere;44
85783;Redensarten von A-Z: Teil 2;7;9,9;1;2-3;0;0;Redensarten;43
85762;Do it yourself - im Handumdrehen selbst gemacht;7;12,95;1;2-3;0;0;hangemacht, diy, basteln, do it yourself, Vera Odilia Klein;43
85758;Gesichter des Sports;7;3;1;2-3;0;0;;44
85756;Ein Wahrzeichen macht Schlagzeilen;7;5;1;2-3;0;0;Wasserturm, Uckermark, Prenzlau, Prenzlauer Wasserturm;44
85754;Heute ist morgen schon gestern;7;12,9;1;2-3;0;0;DDR, Flucht aus der DDR, Mauerbau, wahre Begebenheiten;26
85753;Leos Sicht der Dinge;7;9,9;1;2-3;0;0;Waren Müritz, Berlin, ;43
