customerNumber;active;accountMode;paymentId;firstLogin;lastLogin;customerGroupKey;referer;;;
20013;1;1;4;2020-01-06T00:00:00+01:00;2020-01-06T14:52:47+01:00;EK;;ms;17033;Neubrandenburg
20014;1;1;4;2020-01-07T00:00:00+01:00;2020-01-07T09:43:45+01:00;EK;;ms;17033;Testhausen
20017;1;1;4;2020-01-07T00:00:00+01:00;2020-01-07T13:57:23+01:00;EK;;ms;17033;Testhausen
20019;1;1;4;2020-01-15T00:00:00+01:00;2020-01-15T09:34:26+01:00;EK;http://sw-mecklenbook.mvms.de/backend/;mr;18435;Stralsund
20024;1;0;28;2020-01-24T00:00:00+01:00;2020-01-28T14:04:50+01:00;EK;;ms;17192;Test
20027;1;0;4;2020-01-28T00:00:00+01:00;2022-04-19T09:14:35+02:00;EK;;ms;17192;Waren (Müritz)
20028;1;0;28;2020-01-28T00:00:00+01:00;2022-10-21T12:54:16+02:00;EK;;ms;12277;Berlin
20029;1;0;4;2020-01-29T00:00:00+01:00;2020-01-29T07:44:50+01:00;EK;;ms;17109;Demmin
20030;1;1;28;2020-01-29T00:00:00+01:00;2020-01-29T18:54:43+01:00;EK;;mr;17309;Pasewalk
20031;1;1;5;2020-01-30T00:00:00+01:00;2020-01-30T18:11:37+01:00;EK;;mr;85669;Pastetten
20032;1;1;28;2020-02-02T00:00:00+01:00;2020-02-02T12:56:25+01:00;EK;;mr;17033;Neubrandenburg
20033;1;0;4;2020-02-03T00:00:00+01:00;2020-02-10T10:05:09+01:00;EK;https://www.google.de/;ms;17034;Neubrandenburg
20034;1;0;14;2020-02-05T00:00:00+01:00;2020-02-05T13:06:49+01:00;EK;;mr;27749;Delmenhorst
20035;1;1;4;2020-02-07T00:00:00+01:00;2020-02-07T10:07:39+01:00;EK;https://www.nordkurier.de/node/383311;mr;18609;Ostseebad Binz
20036;1;0;6;2020-02-12T00:00:00+01:00;2020-02-12T09:44:21+01:00;EK;https://www.google.com/;ms;17255;Priepert
20037;1;1;28;2020-02-12T00:00:00+01:00;2020-02-12T22:00:11+01:00;EK;;mr;17291;Uckerfelde OT Falkenwalde
20038;1;0;4;2020-02-13T00:00:00+01:00;2020-02-13T10:58:40+01:00;EK;;ms;17255;Wesenberg
20039;1;0;4;2020-02-14T00:00:00+01:00;2020-02-21T15:01:27+01:00;EK;http://www.google.com/;mr;17217;Penzlin
20040;1;1;28;2020-02-15T00:00:00+01:00;2020-02-15T09:15:01+01:00;EK;https://www.google.de/;mr;17033;Neubrandenburg
20041;1;1;4;2020-02-18T00:00:00+01:00;2020-02-18T15:32:16+01:00;EK;;ms;17375;Ahlbeck
20042;1;1;4;2020-02-18T00:00:00+01:00;2020-02-18T23:55:38+01:00;EK;https://www.google.com/;ms;17389;Anklam
20043;1;1;4;2020-02-20T00:00:00+01:00;2020-02-20T16:59:18+01:00;EK;;mr;17268;Templin
20044;1;1;28;2020-02-22T00:00:00+01:00;2020-02-22T08:13:05+01:00;EK;;ms;17291;Prenzlau
20045;1;1;6;2020-02-28T00:00:00+01:00;2020-02-28T13:41:04+01:00;EK;;ms;4435;Schkeuditz
20046;1;1;4;2020-02-29T00:00:00+01:00;2020-02-29T10:02:55+01:00;EK;;ms;17219;Möllenhagen
20047;1;0;4;2020-03-02T00:00:00+01:00;2020-03-02T14:59:09+01:00;EK;;ms;19086;Plate
20048;1;0;4;2020-03-04T00:00:00+01:00;2021-11-08T15:59:11+01:00;EK;https://www.google.com/;ms;17268;Boitzenburger Land
20049;1;1;28;2020-03-04T00:00:00+01:00;2020-03-04T13:01:04+01:00;EK;https://www.google.com/;mr;17291;Oberuckersee
20050;1;1;28;2020-03-08T00:00:00+01:00;2020-03-08T08:57:39+01:00;EK;https://www.google.com/;ms;17268;Templin
20052;1;1;28;2020-03-14T00:00:00+01:00;2020-03-14T08:05:47+01:00;EK;https://www.nordkurier.de/neubrandenburg/santiano-verschieben-mtv-unplugged-tour-1138685103.html;ms;23701;Eutin
